"Sample number","Location","Type","Treatment","Size","Species","Plant type","Height","Width_farthest","Width_perpendicular","Branch_length","Branch_diameter","Basal_circ","Stem_diameter","Stem_height","Stem_density","Branches_per_stem","Leaves_per_branch","Total_leaves","Leaf_lmax","Leaf_lmin","Leaf_lavg","Leaf_wmax","Leaf_wmin","Leaf_wavg","Leaf_tmax","Leaf_tmin","Leaf_tavg","Biomass","Measurement_location"
101,"SIO","biofilter","vegetated","large","Unplanted weed","forb",5,12.5,11,NA,NA,NA,1.1,NA,NA,NA,NA,95,4.5,1.7,3.2,1,0.4,0.71,0.04,0.02,0.031,0.21,NA
102,"SIO","biofilter","vegetated","medium","Unplanted weed","forb",2.5,9,5.5,NA,NA,NA,0.08,NA,NA,NA,NA,54,3.5,1.5,2.38,0.9,0.4,0.58,0.03,0.02,0.027,0.51,NA
103,"SIO","biofilter","vegetated","large","Unplanted weed","forb",5,11,10.5,NA,NA,NA,0.19,NA,NA,NA,NA,99,3.8,2,2.71,0.9,0.5,0.7,0.03,0.02,0.023,0.39,NA
104,"SIO","biofilter","vegetated","medium","Unplanted weed","forb",5,7.5,7.5,NA,NA,NA,0.12,NA,NA,NA,NA,33,4,2.2,3,1.5,0.3,0.76,0.04,0.02,0.024,0.18,NA
105,"SIO","biofilter","vegetated","small","Unplanted weed","forb",3,6,6,NA,NA,NA,NA,NA,NA,NA,NA,44,3,1.4,2.18,0.9,0.3,0.58,0.03,0.01,0.024,0.13,NA
110,"SIO","natural",NA,"small","Rhus integrifolia","shrub",53,27,38,27.5,0.445,NA,1.07,16,1,6,NA,104,5.5,2.3,3.89,3.7,1.6,2.74,0.06,0.05,0.054,49.58,NA
111,"SIO","natural",NA,"medium","Rhus integrifolia","shrub",80,78,68,40,0.891,NA,2.71,12,1,50,NA,687,6.4,2.4,4.79,4.3,1.6,3.17,0.1,0.05,0.078,556.47,NA
112,"SIO","natural",NA,"small","Rhus integrifolia","shrub",55,44,29,21.15,0.397,NA,1.28,6.5,1,11,NA,94,5.9,3.2,4.73,3.8,2.2,3.14,0.07,0.05,0.057,55.2,NA
113,"SIO","natural",NA,"small","Rhus integrifolia","shrub",37,36,28,17,0.371,NA,1.97,3,1,9,NA,56,5.5,2.2,3.99,3.7,1.5,2.31,0.07,0.03,0.056,36.56,NA
114,"SIO","natural",NA,"large","Rhus integrifolia","shrub",144,126,104,69.15,1.146,NA,3.63,8,1,61,NA,892,5.3,2.7,4.1,4,2,2.98,0.08,0.05,0.071,1172.31,NA
